cap_round,college_code,college_name,branch_code,branch_name,status,level,category,cutoff_rank,cutoff_percentile
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GOPENS,37591,88.9550679
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GSCS,58518,82.3322294
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GSTS,94334,69.4936445
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GVJS,44057,86.9194446
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GNT1S,48422,85.5729148
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GNT2S,41549,87.687217
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GNT3S,50563,84.8736599
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GOBCS,44130,86.9194446
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GSEBCS,62247,81.1295102
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LOPENS,30071,91.1459607
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LSCS,45170,86.6223776
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LSTS,49208,85.2215842
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LVJS,66707,79.6986029
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LNT2S,62338,81.1295102
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LOBCS,41127,87.9159305
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LSEBCS,69477,78.6137148
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,PWDOPENS,131331,53.6060165
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,DEFOPENS,197856,7.1701886
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,TFWS,47707,85.8501253
CAP1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,ORPHAN,85223,73.2612864
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GOPENS,9196,97.3737374
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GSCS,18016,94.783775
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GSTS,46829,85.9646097
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GVJS,12192,96.5118421
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GNT1S,20440,94.0716041
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GNT2S,15590,95.5372663
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GOBCS,10583,96.9659622
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,GSEBCS,16679,95.2142111
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LOPENS,8473,97.5647615
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LSCS,25163,92.6752061
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LSTS,35441,89.5868952
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LNT1S,15967,95.4055944
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LNT3S,26110,92.3826851
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LOBCS,10921,96.8499656
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,LSEBCS,15326,95.6055328
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,PWDOPENS,51675,84.5176078
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,DEFOPENS,98826,68.1164395
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,TFWS,30524,91.051072
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,ORPHAN,35641,89.51289
CAP1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Status: Government Autonomous Home University : Autonomous Institute,State Level,EWS,7401,97.8664807
CAP1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Status: Government Autonomous Home University : Autonomous Institute,State Level,GOPENS,12891,96.3316055
CAP1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Status: Government Autonomous Home University : Autonomous Institute,State Level,GSCS,22881,93.3597277
CAP1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Status: Government Autonomous Home University : Autonomous Institute,State Level,GSTS,61474,81.2846613
CAP1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Status: Government Autonomous Home University : Autonomous Institute,State Level,GVJS,25469,92.5745163
CAP1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Status: Government Autonomous Home University : Autonomous Institute,State Level,GNT1S,24028,92.997543
CAP1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Status: Government Autonomous Home University : Autonomous Institute,State Level,GNT2S,16590,95.2407244
